,total_perc_change,new_case_count_sum,religion,civic,charitable,fraternal,union,voteage,local,state,federal,politicalacts,ethnic,ethnichpn,education,incomeequal,employ,genderincome,language,commu,nonelder
"Ontario County, New York",-0.044380236,1545,0.045338012,0.07063332,0.46537396,0.18959108,0.5654321,0.6004452,0.20578073,0.07298483,0.064407475,0.3889695,0.847107,0.8759738,0.6843177,0.49086756,0.59861594,0.034411132,0.94207644,0.9100631,0.9997311
"Johnson County, Texas",-0.044260772,2327,0.06426501,0.08693332,0.61911356,0.25836432,0.6691358,0.4637325,0.22727764,0.04527603,0.06620307,0.43976778,0.78496385,0.43463153,0.601833,0.5479452,0.544406,0.11351204,0.8583985,0.92005855,0.9998555
"Kings County, New York",-0.044120416,45817,0.011512987,0.10866666,0.5872576,0.15055762,0.75555557,0.34462878,0.2631043,0.047615454,0.074319206,0.37300435,0.121361196,0.36601657,0.53564155,0.3333333,0.48327565,0.10123044,0.5220781,0.8724908,0.9999911
"Leon County, Florida",-0.043659833,7687,0.042845365,0.10866666,0.45290858,0.21561338,0.3160494,0.6171358,0.16920264,0.4598431,0.053142935,0.26269957,0.3380776,0.7999722,0.7443992,0.3584475,0.5432526,0.000234067,0.9077789,0.8317653,0.99993217
"Ben Hill County, Georgia",-0.043481678,215,0.13668962,0.048899993,0.23268698,0.20817845,0.31851852,0.5426852,0.256721,0.1649649,0.12148945,0.233672,0.31451583,0.7807735,0.5437882,0.4086758,0.30795845,0.15290552,0.93310857,0.6399446,0.99847174
"Hockley County, Texas",-0.043271752,947,0.14624807,0.02173333,0.58310246,0.14684016,0.7604938,0.47970608,0.20916949,0.15232581,0.031837806,0.37300435,0.6252767,0.025067091,0.70672095,0.48401827,0.52479815,0.20992213,0.6871857,0.8931362,0.99896806
"Pueblo County, Colorado",-0.043133214,4715,0.04228749,0.10866666,0.14404432,0.17843866,0.25185186,0.55314326,0.17986657,0.16040951,0.09028299,0.19013062,0.57778466,0.034863114,0.6384929,0.43378997,0.44405997,0.022186756,0.8532352,0.85071814,0.99981797
"Sandusky County, Ohio",-0.042953744,724,0.067489,0.07063332,0.35872576,0.38475835,0.43950617,0.56110805,0.16514102,0.05375473,0.037424207,0.43396226,0.78967315,0.69167274,0.6537678,0.6164384,0.5697808,0.037808,0.9412397,0.9036765,0.9995425
"Fresno County, California",-0.042836245,19130,0.025074469,0.10866666,0.22160664,0.03345725,0.15308642,0.27584228,0.22226727,0.10322094,0.103386015,0.12772134,0.24507344,0.000284612,0.59572303,0.42465752,0.44059977,0.048478484,0.55616206,0.91578466,0.99997914
"Dickson County, Tennessee",-0.042624329,1024,0.13274425,0.06519999,0.20221607,0.2732342,0.31851852,0.5517803,0.18721856,0.08510826,0.07579371,0.20029028,0.81224823,0.8873366,0.6313646,0.53652966,0.5397924,0.071529806,0.96760654,0.9065696,0.99949735
"Richmond County, Georgia",-0.042556645,3170,0.06067519,0.10866666,0.34764543,0.18773234,0.7111111,0.5557758,0.16673823,0.15064277,0.26485005,0.19593614,0.2865079,0.8494257,0.62321794,0.41324198,0.39792386,0.07662225,0.9336187,0.80084956,0.99989235
"Richmond County, North Carolina",-0.042500405,997,0.2333782,0.032599997,0.24238227,0.23420075,0.59753084,0.5313703,0.23398575,0.17788053,0.0514187,0.6226415,0.30895203,0.7934204,0.4704684,0.36757994,0.3160323,0.11299515,0.9444234,0.869757,0.99939364
"Sumter County, Florida",-0.04192739,2284,0.04764373,0.08693332,0.27146813,0.26022306,0.28395063,0.79360616,0.234232,0.08049565,0.07168861,0.26269957,0.68203306,0.7628638,0.4857434,0.53424656,0.118800454,0.054871857,0.90886694,0.9096946,0.99915594
"Coconino County, Arizona",-0.041823802,1941,0.06932103,0.10323332,0.45429364,0.22490707,0.34320986,0.5331913,0.2223153,0.19875796,0.19801365,0.57910013,0.2933913,0.5431874,0.7321792,0.46118724,0.57093424,0.059304893,0.73734504,0.79543823,0.99986815
"Suffolk city, Virginia",-0.041809812,1234,0.047088638,0.07063332,0.17867036,0.16171004,0.34074074,0.54544246,0.20862927,0.06536786,0.35469562,0.36139333,0.28496104,0.89393914,0.60692465,0.5251142,0.5467128,0.16110617,0.9521405,0.8769801,0.99973315
"Pierce County, Washington",-0.041717774,21489,0.029232359,0.10866666,0.30886427,0.1802974,0.22962964,0.5176905,0.16443732,0.111355565,0.17265202,0.10449927,0.4660567,0.6872838,0.6822811,0.5296804,0.5063437,0.059577227,0.8577958,0.9015702,0.99997294
"Lubbock County, Texas",-0.041481369,3423,0.059405826,0.10866666,0.3836565,0.23420075,0.27160493,0.5436744,0.15837073,0.19613883,0.04672326,0.29027575,0.5293094,0.14384687,0.7413442,0.37671232,0.5801615,0.02751273,0.7733626,0.88712066,0.9999224
"Dunn County, Wisconsin",-0.041444083,597,0.093880676,0.07606666,0.34903046,0.30669144,0.27901235,0.6413806,0.15018955,0.16206296,0.04335564,0.5602322,0.8697723,0.9433598,0.7443992,0.5936073,0.55709344,0.04671347,0.9505462,0.93483335,0.99947006
"Chester County, South Carolina",-0.041437614,695,0.21189299,0.03803333,0.15512465,0.19516729,0.22962964,0.5816005,0.13665469,0.1179338,0.043257393,0.17706822,0.3408208,0.9421479,0.46843177,0.4474886,0.33794695,0.11904323,0.9878483,0.8184333,0.9991935
"Westmoreland County, Pennsylvania",-0.041203905,7293,0.06399008,0.10866666,0.20775624,0.23791821,0.3654321,0.6567656,0.11113627,0.055256814,0.06536457,0.1712627,0.88835657,0.9671344,0.63034624,0.48401827,0.5201846,0.109637976,0.96577185,0.9531285,0.9999072
"Linn County, Iowa",-0.040786175,2154,0.040373806,0.10866666,0.4238227,0.32156134,0.39753085,0.56460136,0.121321164,0.069524705,0.050902326,0.26415095,0.7822457,0.904625,0.7250509,0.5068493,0.6597462,0.05387205,0.9505931,0.91640127,0.9998848
"James City County, Virginia",-0.040436369,871,0.0168453,0.10866666,0.14542936,0.232342,0.25679013,0.5810892,0.1792012,0.14252661,0.19608949,0.1509434,0.56744343,0.8419726,0.6181263,0.5228311,0.56055367,0.08464867,0.9069839,0.95167017,0.9994392
"Baltimore County, Maryland",-0.040397516,14414,0.017797928,0.10866666,0.5055402,0.26951674,0.6148148,0.5485698,0.15724564,0.106605865,0.2056489,0.44702467,0.35396856,0.85416156,0.691446,0.47260273,0.6032295,0.0465371,0.8720077,0.92098856,0.9999661
"Carver County, Minnesota",-0.040390303,2716,0.018122226,0.081499994,0.5138504,0.34200743,0.48641977,0.45742816,0.12340072,0.043255717,0.024505112,0.425254,0.82474816,0.8547925,0.65173113,0.55936074,0.73010385,0.08010626,0.90968424,0.94276005,0.99981177
"Scioto County, Ohio",-0.039907379,932,0.123408146,0.08693332,0.22714682,0.19888476,0.24691358,0.60789686,0.20399274,0.14665405,0.06757203,0.1436865,0.8606241,0.9559327,0.56109977,0.44292235,0.3160323,0.045803547,0.97813123,0.85279393,0.99963635
"Norfolk city, Virginia",-0.039877656,3289,0.050888807,0.10866666,0.35180056,0.21003717,0.4,0.5834037,0.17153537,0.07815073,0.41466555,0.3352685,0.24510956,0.7667516,0.7321792,0.4086758,0.4359862,0.08716589,0.9007777,0.86122185,0.99992603
"Oconto County, Wisconsin",-0.039869325,439,0.06738435,0.05433333,0.38088644,0.35315984,0.4148148,0.6166424,0.14929882,0.043239824,0.0485642,0.13497823,0.923952,0.95069855,0.6089613,0.53881276,0.57093424,0.14988697,0.9722723,0.8998203,0.99920624
"Lewis County, West Virginia",-0.039183511,346,0.20807345,0.05976666,0.1565097,0.18215613,0.3234568,0.66099465,0.13024995,0.18996865,0.17434831,0.47024673,0.9435225,0.99318486,0.5315682,0.42465752,0.4106113,0.07375097,0.99200785,0.7939918,0.9979323
"Spokane County, Washington",-0.039157696,12046,0.034609176,0.10866666,0.22160664,0.18587361,0.2765432,0.5692135,0.13650511,0.13059218,0.099026114,0.38751814,0.75031334,0.8367379,0.7576375,0.46118724,0.5121107,0.024603069,0.9277507,0.95098245,0.99994636
"Kershaw County, South Carolina",-0.038920406,1382,0.12600179,0.07606666,0.37811634,0.2881041,0.4271605,0.55724365,0.15689711,0.14589041,0.11165718,0.42960814,0.4449349,0.87021345,0.5407332,0.49086756,0.48327565,0.06573856,0.95050776,0.839536,0.99955434
"Jefferson County, Ohio",-0.038811217,925,0.13127394,0.07063332,0.092797786,0.12825279,0.32098764,0.6560786,0.188252,0.04722885,0.054724444,0.09724238,0.8015472,0.95427626,0.6955193,0.47488582,0.41637832,0.08958578,0.97385794,0.91797143,0.9995235
"Washington County, New York",-0.03872179,774,0.07445884,0.09779999,0.47368422,0.2472119,0.48395061,0.63077784,0.2103477,0.11513918,0.046069745,0.44267052,0.8619494,0.909573,0.57637477,0.57990867,0.49596307,0.046200097,0.95505273,0.9337338,0.9995555
"Surry County, North Carolina",-0.03870505,1320,0.14757426,0.05976666,0.3628809,0.38475835,0.41728395,0.5400766,0.16736862,0.080711186,0.030570945,0.43396226,0.8111069,0.6690841,0.5651731,0.456621,0.49019605,0.062251985,0.9022444,0.8631839,0.9995875
"Faulkner County, Arkansas",-0.038265433,3614,0.063258536,0.081499994,0.5900277,0.31784385,0.7407407,0.5550286,0.10527495,0.19949278,0.06712857,0.45137882,0.6691187,0.8604475,0.7749491,0.44520545,0.5697808,0.10258442,0.95126885,0.7914507,0.9998245
"Duchesne County, Utah",-0.038211825,455,0.13586959,0.05433333,0.27839336,0.2472119,0.3506173,0.41001543,0.26310673,0.11020577,0.08974769,0.2539913,0.77959645,0.79669535,0.65173113,0.55479455,0.5697808,0.61389965,0.9569817,0.9531759,0.99881357
"Pender County, North Carolina",-0.038161234,1123,0.10925188,0.05976666,0.4099723,0.28624535,0.47654322,0.574177,0.15390308,0.08211872,0.0656263,0.27285922,0.50205886,0.7836276,0.57637477,0.48858446,0.47174165,0.08098501,0.92993295,0.89687,0.9994339
"Madison County, Ohio",-0.038019952,532,0.09339224,0.07606666,0.38504156,0.34386617,0.48395061,0.6020317,0.15256321,0.13095301,0.04498636,0.32946298,0.7783501,0.94277185,0.503055,0.44520545,0.5005767,0.20441818,0.955002,0.86074334,0.9994509
"Orange County, California",-0.037975519,23427,0.00674487,0.10866666,0.22576177,0.2881041,0.33827162,0.34776342,0.14327572,0.061644595,0.047529984,0.6777939,0.26449275,0.11777526,0.65580446,0.43378997,0.5686275,0.09011954,0.5378369,0.9433543,0.9999927
"Monroe County, West Virginia",-0.037888152,269,0.29696736,0.05433333,0.17728531,0.17100371,0.654321,0.6445657,0.19156855,0.0943804,0.053139377,0.20464441,0.9392939,0.9723319,0.4979633,0.5821918,0.42214534,0.19520277,0.96910775,0.89734304,0.9972633
"Franklin County, Ohio",-0.037811312,17600,0.027195,0.10866666,0.35734072,0.38475835,0.4691358,0.51707226,0.13030817,0.15050651,0.070146754,0.29753265,0.40989232,0.8334522,0.6680244,0.42237443,0.5847751,0.021431029,0.8844369,0.86791486,0.9999829
"Cochise County, Arizona",-0.037722203,1062,0.08567968,0.07606666,0.44044322,0.32899627,0.30123457,0.51541334,0.20452781,0.10667102,0.51646477,0.42960814,0.6060574,0.1327225,0.6659878,0.47945207,0.39677048,0.033804774,0.719222,0.90474445,0.9997545
"Allen County, Ohio",-0.037631876,1299,0.07765833,0.10323332,0.3601108,0.35687733,0.37037036,0.5836666,0.17194106,0.05327646,0.042431455,0.29317853,0.62432903,0.91156566,0.6527495,0.48630136,0.47635525,0.09951621,0.97117764,0.86653686,0.99974716
"Pierce County, Wisconsin",-0.0373759,618,0.071947195,0.06519999,0.09695291,0.16728625,0.5530864,0.6198216,0.17798464,0.12179984,0.050690994,0.2264151,0.922524,0.9418527,0.8065173,0.5707762,0.6920415,0.109692335,0.96932155,0.82285213,0.9995241
